"Area" "Mean" "StdDev" "Mode" "Min" "Max" "X" "Y" "XM" "YM" "Perim" "BX" "BY" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "RawIntDen" "FeretX" "FeretY" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Type"
"85" 97 29098.557 20249.073 65504 11568 65504 4061.582 904.84 4062.1 905.613 54.77 4056 898 12 14 12.645 9.767 80.827 0.406 14.56 2822560 18640 2822560 4061 912 74.055 12 1.295 0.772 0.746 "Positif"
"86" 63 29792.254 19285.447 65504 11824 65504 4208.833 903.484 4208.968 904.011 32.627 4205 898 8 11 10.785 7.437 87.323 0.744 11.705 1876912 20528 1876912 4207 909 70.017 8 1.45 0.69 0.857 "Positif"
"87" 96 29025.5 19736.393 65504 11632 65504 3518.875 908.802 3519.176 909.25 48.77 3513 901 12 15 12.426 9.837 93.546 0.507 15.133 2786448 18272 2786448 3518 901 97.595 11.672 1.263 0.792 0.75 "Positif"
"88" 73 30677.26 20187.972 65504 11696 65504 4171.089 910.87 4171.301 911.279 34.87 4166 904 9 13 11.227 8.279 81.912 0.754 13.038 2239440 21008 2239440 4171 904 94.399 9 1.356 0.737 0.849 "Positif"
"89" 57 26411.789 18945.026 65504 11568 65504 3531.886 912.079 3532.169 912.479 36.87 3527 905 9 12 10.201 7.115 78.209 0.527 13.038 1505472 17648 1505472 3527 916 57.529 8.222 1.434 0.697 0.755 "Positif"
"90" 152 29313.368 19508.984 65504 11568 65504 3912.138 914.789 3912.541 915.456 64.669 3905 906 14 18 16.883 11.463 67.474 0.457 18.248 4455632 20416 4455632 3910 924 80.538 14 1.473 0.679 0.792 "Positif"
"91" 81 28903.704 19882.618 65504 11568 65504 3870.623 922.414 3871.035 923.03 35.456 3866 916 9 13 12.178 8.469 86.133 0.81 13.153 2341200 18608 2341200 3869 916 98.746 9 1.438 0.695 0.862 "Positif"
"92" 80 30226.4 19731.379 65504 11600 65504 4226.425 921.913 4226.751 922.278 34.87 4221 916 10 12 10.893 9.35 91.935 0.827 12.369 2418112 22752 2418112 4226 928 75.964 10 1.165 0.858 0.865 "Positif"
"93" 75 28977.707 19502.152 65504 11568 65504 3756.66 928.353 3757.056 928.799 36.042 3751 923 10 11 10.862 8.791 93.648 0.726 11.705 2173328 19440 2173328 3755 923 109.983 9.803 1.236 0.809 0.847 "Positif"
"94" 53 27337.962 19415.761 65504 11712 65504 4075.858 932.764 4076.195 933.09 34.284 4071 927 8 11 9.717 6.945 85.598 0.567 11.18 1448912 17424 1448912 4075 938 79.695 8 1.399 0.715 0.785 "Positif"
"95" 13 19122.462 7475.017 11840 11840 34080 3826.192 930.423 3826.186 930.428 13.314 3824 928 4 5 4.353 3.803 118.764 0.922 5.099 248592 17680 248592 3826 928 101.31 4 1.145 0.874 0.812 "Positif"
"96" 98 29482.286 20056.252 65504 11616 65504 3975.357 935.776 3975.69 936.155 47.598 3970 928 12 15 12.774 9.768 93.468 0.544 15.133 2889264 19232 2889264 3975 943 82.405 11.884 1.308 0.765 0.76 "Positif"
"97" 25 23249.92 14004.285 11600 11600 61312 4104.66 933.46 4104.664 933.555 20.971 4102 930 5 7 6.981 4.56 99.846 0.714 7.616 581248 15408 581248 4103 930 113.199 5 1.531 0.653 0.806 "Positif"
"98" 62 28927.484 19471.911 65504 11600 65504 4233.968 937.871 4234.277 938.195 34.87 4228 932 10 12 10.201 7.739 83.972 0.641 12.369 1793504 20560 1793504 4233 944 75.964 9.707 1.318 0.759 0.775 "Positif"
"99" 80 29206.2 19771.879 65504 11664 65504 3741.488 938.688 3741.846 939.164 41.941 3736 933 11 12 11.07 9.201 84.375 0.572 12.728 2336496 20544 2336496 3738 944 45 10.429 1.203 0.831 0.78 "Positif"
"100" 80 27462.8 19184.083 65504 11568 65504 3650.3 939.7 3650.681 940.076 45.113 3645 934 11 12 10.838 9.399 90.798 0.494 12.649 2197024 17824 2197024 3649 946 71.565 10.633 1.153 0.867 0.788 "Positif"
"101" 78 27401.641 19485.243 65504 11616 65504 3765.91 940.295 3766.356 940.947 47.355 3761 934 9 13 11.655 8.521 92.752 0.437 13.601 2137328 18224 2137328 3763 934 107.103 9 1.368 0.731 0.78 "Positif"
"102" 69 28530.319 19596.797 65504 11568 65504 3954.384 943.659 3954.687 944.277 34.87 3949 937 10 12 10.38 8.464 85.522 0.713 12.369 1968592 20528 1968592 3953 949 75.964 10 1.226 0.815 0.771 "Positif"
"103" 92 28342.783 19350.336 65504 11568 65504 4024.946 946.837 4025.156 946.837 49.941 4020 938 9 18 17.26 6.787 100.004 0.464 18.439 2607536 18544 2607536 4023 938 102.529 8.724 2.543 0.393 0.745 "Positif"
"104" 232 29393.655 20360.739 65504 11584 65504 3685.237 949.659 3685.352 950.349 92.711 3674 941 22 18 21.074 14.017 16.514 0.339 22.804 6819328 19248 6819328 3676 956 37.875 17.258 1.503 0.665 0.74 "Positif"
"105" 41 28255.22 19639.944 65504 11632 65504 3906.28 946.134 3906.55 946.423 23.556 3903 942 7 8 7.879 6.626 65.803 0.928 9.22 1158464 17872 1158464 3903 949 40.601 7 1.189 0.841 0.863 "Positif"
"106" 94 30024.511 20137.401 65504 11632 65504 3712.298 952.564 3712.719 953.043 43.113 3707 946 11 13 12.699 9.425 80.897 0.636 14.213 2822304 20832 2822304 3709 958 50.711 10.198 1.347 0.742 0.821 "Positif"
"107" 21 21962.667 12088.123 11696 11696 49184 3977.929 953.833 3977.964 953.979 17.314 3976 951 4 6 6.356 4.207 93.616 0.88 6.708 461216 19248 461216 3976 951 116.565 4 1.511 0.662 0.913 "Positif"
"108" 110 30032.145 20345.113 65504 11568 65504 4243.982 964.545 4244.2 964.554 52.426 4238 956 11 19 15.132 9.256 84.463 0.503 19.105 3303536 20912 3303536 4244 975 83.991 11 1.635 0.612 0.753 "Positif"
"109" 86 27133.395 19114.999 65504 11568 65504 3859.314 965 3859.58 965.312 45.598 3854 958 11 14 11.969 9.149 82.106 0.52 14.318 2333472 16624 2333472 3859 972 77.905 10.59 1.308 0.764 0.764 "Positif"
"110" 73 27681.753 19425.175 65504 11584 65504 3498.267 967.952 3498.877 968.379 38.042 3493 962 11 11 10.671 8.71 117.367 0.634 13.038 2020768 18784 2020768 3495 962 122.471 9.839 1.225 0.816 0.807 "Positif"
"111" 112 27562.857 18410.374 65504 11584 65504 3979.223 971.464 3979.522 971.578 52.184 3973 963 12 18 15.331 9.301 102.513 0.517 18.682 3087040 18688 3087040 3977 963 105.524 11.628 1.648 0.607 0.789 "Positif"
"112" 104 30623.692 20823.269 65504 11616 65504 3927.077 972.606 3927.515 973.068 52.284 3921 966 11 13 12.359 10.714 94.72 0.478 14.213 3184864 20528 3184864 3921 976 39.289 11 1.154 0.867 0.852 "Positif"
"113" 29 26821.517 18520.416 65504 11568 65504 4224.638 977.534 4224.89 977.872 24.627 4221 974 7 7 6.71 5.503 61.845 0.601 8.602 777824 17504 777824 4221 980 35.538 6.306 1.219 0.82 0.734 "Positif"
